Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.6949,0.9094,0.0748,0.9851
2,0.1136,0.9750,0.0516,0.9857
3,0.0757,0.9811,0.0460,0.9877
4,0.0632,0.9838,0.0359,0.9906
5,0.0513,0.9866,0.0309,0.9915
6,0.0440,0.9887,0.0311,0.9913
7,0.0396,0.9898,0.0307,0.9919
8,0.0361,0.9905,0.0329,0.9904
9,0.0347,0.9907,0.0285,0.9922
10,0.0300,0.9918,0.0321,0.9910
11,0.0278,0.9923,0.0294,0.9930
12,0.0260,0.9926,0.0256,0.9935
13,0.0241,0.9937,0.0307,0.9922
14,0.0232,0.9935,0.0278,0.9933
15,0.0228,0.9935,0.0263,0.9939
16,0.0191,0.9944,0.0282,0.9923
17,0.0174,0.9953,0.0251,0.9939
18,0.0168,0.9953,0.0294,0.9933
19,0.0178,0.9948,0.0315,0.9920
20,0.0152,0.9961,0.0306,0.9930
