Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.6429,0.8110,0.1403,0.9585
2,0.2309,0.9289,0.0747,0.9789
3,0.1574,0.9502,0.0491,0.9860
4,0.1245,0.9615,0.0402,0.9884
5,0.1022,0.9676,0.0352,0.9902
6,0.0885,0.9720,0.0334,0.9891
7,0.0808,0.9744,0.0233,0.9928
8,0.0712,0.9773,0.0244,0.9923
9,0.0662,0.9786,0.0216,0.9935
10,0.0613,0.9806,0.0195,0.9941
