Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,2.0253,0.5240,1.5861,0.7632
2,1.2160,0.8499,0.6289,0.9634
3,0.4994,0.9512,0.2099,0.9776
4,0.2460,0.9662,0.1151,0.9843
5,0.1644,0.9752,0.0866,0.9848
6,0.1255,0.9801,0.0693,0.9869
7,0.1019,0.9836,0.0600,0.9874
8,0.0881,0.9852,0.0556,0.9880
9,0.0762,0.9871,0.0463,0.9898
10,0.0674,0.9885,0.0451,0.9898
11,0.0604,0.9898,0.0409,0.9902
12,0.0541,0.9905,0.0393,0.9907
13,0.0502,0.9910,0.0393,0.9895
14,0.0467,0.9917,0.0359,0.9910
15,0.0422,0.9927,0.0360,0.9909
16,0.0391,0.9935,0.0333,0.9911
17,0.0370,0.9936,0.0340,0.9919
18,0.0339,0.9941,0.0356,0.9910
19,0.0315,0.9947,0.0318,0.9914
20,0.0292,0.9953,0.0314,0.9915
