Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.1103,0.9808,0.0062,0.9981
2,0.0157,0.9963,0.0035,0.9988
3,0.0146,0.9961,0.0092,0.9973
4,0.0114,0.9970,0.0027,0.9992
5,0.0071,0.9980,0.0024,0.9992
6,0.0082,0.9981,0.0022,0.9993
7,0.0052,0.9985,0.0028,0.9992
8,0.0069,0.9982,0.0033,0.9990
9,0.0092,0.9972,0.0027,0.9993
10,0.0053,0.9987,0.0026,0.9995
