Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.2355,0.9393,0.0124,0.9971
2,0.0215,0.9948,0.0029,0.9994
3,0.0145,0.9964,0.0024,0.9996
4,0.0102,0.9976,0.0021,0.9993
5,0.0085,0.9978,0.0014,0.9997
6,0.0088,0.9979,0.0020,0.9996
7,0.0075,0.9978,0.0022,0.9997
8,0.0071,0.9982,0.0008,0.9997
9,0.0042,0.9987,0.0011,0.9996
10,0.0065,0.9983,0.0015,0.9996
