Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,2.5240,0.2348,2.3865,0.2779
2,1.8894,0.4171,1.9450,0.4083
3,1.5723,0.5057,1.9325,0.4405
4,1.2866,0.6037,1.8107,0.5085
5,1.0966,0.6577,1.7441,0.5236
6,0.9630,0.7027,1.0585,0.6824
7,0.8277,0.7491,1.2015,0.6635
8,0.7076,0.7746,1.3237,0.6181
9,0.6439,0.8030,1.1513,0.6786
10,0.5845,0.8106,0.9863,0.7637
