Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.5329,0.9613,0.0722,0.9879
2,0.0559,0.9886,0.0454,0.9894
3,0.0330,0.9923,0.0366,0.9912
4,0.0253,0.9937,0.0343,0.9913
5,0.0185,0.9951,0.0291,0.9915
6,0.0150,0.9962,0.0331,0.9915
7,0.0124,0.9966,0.0431,0.9894
8,0.0115,0.9968,0.0325,0.9922
9,0.0121,0.9965,0.0373,0.9909
10,0.0081,0.9979,0.0293,0.9917
11,0.0083,0.9977,0.0342,0.9914
12,0.0091,0.9973,0.0446,0.9910
13,0.0060,0.9982,0.0417,0.9914
14,0.0064,0.9981,0.0382,0.9915
15,0.0047,0.9989,0.0425,0.9915
16,0.0066,0.9980,0.0393,0.9913
17,0.0053,0.9984,0.0369,0.9915
18,0.0051,0.9984,0.0409,0.9914
19,0.0061,0.9983,0.0380,0.9916
20,0.0019,0.9995,0.0379,0.9912
