Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,2.3276,0.2950,1.9150,0.3743
2,1.6590,0.4839,1.5940,0.5085
3,1.2444,0.6222,1.1083,0.6560
4,1.0069,0.6799,1.1941,0.6181
5,0.8330,0.7486,0.9595,0.7108
6,0.6982,0.7898,1.1895,0.6541
7,0.6033,0.8210,0.9057,0.7429
8,0.4807,0.8537,0.8418,0.7750
9,0.4920,0.8447,0.8557,0.7580
10,0.4003,0.8774,0.9290,0.7335
