Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,2.0997,0.4806,1.7216,0.7931
2,1.3815,0.8230,0.7969,0.9558
3,0.6295,0.9416,0.2812,0.9770
4,0.3013,0.9674,0.1418,0.9851
5,0.1915,0.9764,0.0966,0.9874
6,0.1443,0.9804,0.0744,0.9887
7,0.1145,0.9839,0.0663,0.9887
8,0.0956,0.9861,0.0584,0.9893
9,0.0829,0.9874,0.0524,0.9901
10,0.0719,0.9890,0.0464,0.9908
11,0.0639,0.9902,0.0424,0.9917
12,0.0576,0.9911,0.0408,0.9909
13,0.0523,0.9919,0.0408,0.9913
14,0.0473,0.9928,0.0392,0.9911
15,0.0444,0.9929,0.0367,0.9916
16,0.0405,0.9938,0.0363,0.9923
17,0.0385,0.9937,0.0349,0.9920
18,0.0347,0.9946,0.0329,0.9926
19,0.0328,0.9949,0.0333,0.9926
20,0.0311,0.9946,0.0322,0.9926
