Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.5660,0.9586,0.0797,0.9889
2,0.0586,0.9895,0.0438,0.9891
3,0.0350,0.9923,0.0345,0.9912
4,0.0238,0.9945,0.0375,0.9897
5,0.0180,0.9956,0.0449,0.9887
6,0.0160,0.9962,0.0396,0.9893
7,0.0142,0.9962,0.0294,0.9921
8,0.0120,0.9967,0.0348,0.9908
9,0.0079,0.9978,0.0388,0.9900
10,0.0087,0.9976,0.0383,0.9900
11,0.0092,0.9973,0.0355,0.9910
12,0.0076,0.9981,0.0384,0.9913
13,0.0062,0.9983,0.0348,0.9923
14,0.0067,0.9981,0.0439,0.9909
15,0.0068,0.9980,0.0385,0.9911
16,0.0063,0.9980,0.0302,0.9923
17,0.0024,0.9993,0.0441,0.9893
18,0.0041,0.9990,0.0375,0.9907
19,0.0062,0.9982,0.0429,0.9915
20,0.0050,0.9987,0.0356,0.9923
